Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.4%  LazyCompile: *while C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1023:18
      1    0.0%    0.4%  LazyCompile: *when C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:873:17
      1    0.0%    0.4%  LazyCompile: *visit C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:292:18
      1    0.0%    0.4%  LazyCompile: *toConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\constantinople\lib\index.js:354:20
      1    0.0%    0.4%  LazyCompile: *readSync node:fs:699:18
      1    0.0%    0.4%  LazyCompile: *pp$3.parseMaybeAssign C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\acorn\dist\acorn.js:1976:35
      1    0.0%    0.4%  LazyCompile: *parseUntil C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\character-parser\index.js:47:20
      1    0.0%    0.4%  LazyCompile: *parseTag C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-parser\index.js:1111:21
      1    0.0%    0.4%  LazyCompile: *parseParenAndDistinguishExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:13578:37
      1    0.0%    0.4%  LazyCompile: *parseNumericLiteral C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:13546:22
      1    0.0%    0.4%  LazyCompile: *parseIdentifierName C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:14280:22
      1    0.0%    0.4%  LazyCompile: *parseExpressionBase C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:12474:22
      1    0.0%    0.4%  LazyCompile: *parseExprOp C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:12625:14
      1    0.0%    0.4%  LazyCompile: *parseCoverCallAndAsyncArrowHead C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:12963:34
      1    0.0%    0.4%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      1    0.0%    0.4%  LazyCompile: *next C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\express\lib\router\index.js:177:16
      1    0.0%    0.4%  LazyCompile: *next C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\parser\lib\index.js:2543:7
      1    0.0%    0.4%  LazyCompile: *mixin C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:968:18
      1    0.0%    0.4%  LazyCompile: *loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
      1    0.0%    0.4%  LazyCompile: *isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\is-expression\index.js:14:22
      1    0.0%    0.4%  LazyCompile: *isConstant C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-attrs\index.js:8:20
      1    0.0%    0.4%  LazyCompile: *isCallExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\@babel\types\lib\validators\generated\index.js:431:26
      1    0.0%    0.4%  LazyCompile: *interpolation C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:369:26
      1    0.0%    0.4%  LazyCompile: *incrementColumn C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:173:28
      1    0.0%    0.4%  LazyCompile: *include C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:818:20
      1    0.0%    0.4%  LazyCompile: *getTokens C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1704:22
